;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
326;14;BW 18;6,498388420786459;1109,8124523809522;168;0,36387267541404517;1801,211;843,557;146,9888040699083;11,34043243745421
327;15;BW 18;6,9890390669678775;1395,425859756097;164;0,3677656919797375;2013,407;1092,645;142,6828753456221;11,141660699904424
328;16;BW 18;7,485944361765698;1780,2637173913038;138;0,38182240220505476;2328,572;1422,709;192,13803902653777;16,355876052851958
329;17;BW 18;8,000585579611249;2210,731390070921;141;0,38840740601413554;3029,953;1744,881;204,91095526872067;17,256615462712865
330;18;BW 18;8,495275934033556;2726,9961306818177;176;0,4001924604294561;3551,522;2072,918;243,92065354422127;18,38621105510125
331;19;BW 18;8,98962001837279;3237,8236814814823;135;0,4010015395651665;3957,974;2449,705;276,9622307357885;23,83711349262589
332;20;BW 18;9,48508593540944;3837,499137931035;116;0,40461439599365717;4516,165;3185,117;299,56657605160996;27,81405832322262
333;21;BW 18;9,980034306874757;4411,336683168319;101;0,3992923158129228;5165,337;3796,533;322,09929536082285;32,05007778244506
334;22;BW 18;10,476702184627477;5068,6004722222215;72;0,3965802785717414;5742,99;4101,442;318,90050307968806;37,58278470857482
335;23;BW 18;11,000497311991502;5754,019374999997;72;0,3889118820098672;6200,948;5041,109;287,42363800394133;33,87320058431573
336;24;BW 18;11,517828242480991;6165,335532467532;77;0,3630460976488131;6374,512;5651,327;182,4278359989295;20,789581352722298
337;25;BW 18;11,994234744448233;6305,847052631577;57;0,3288082073908172;6382,368;5890,459;111,91338067267247;14,823289388949238
338;26;BW 18;12,509089135492092;6362,1339259259275;54;0,2924439189958049;6384,108;6222,825;28,058740116050586;3,8183108949824884
339;27;BW 18;12,976294292342974;6363,796085106381;47;0,26204811830103647;6382,507;6323,708;16,115666567214287;2,3507115668096157
340;28;BW 18;13,450207589442268;6360,345653846153;26;0,2351855344131919;6382,341;6337,123;13,891552417040613;2,724357571099504
341;29;BW 18;13,944949570037714;6356,073157894738;19;0,2108894687788418;6382,982;6304,076;21,25528587398404;4,876297007408633
342;30;BW 18;14,524093484095886;6356,028166666666;18;0,1866532499275897;6382,675;6340,901;14,803347937107251;3,489182570197476
343;31;BW 18;14,972369309587402;6349,650761904761;21;0,17021392887849165;6371,736;6335,109;9,475558473803652;2,0677363789612127
344;32;BW 18;15,503715619037779;6351,753272727274;22;0,15335681803098145;6382,331;6328,228;13,705753596076452;2,922076484876983
