;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
292;7,9;8,57;2206,052;5,55;0,0;1,249153872288023
293;7,27;7,94;1732,2;5,38;0,0;1,2499001288537122
294;6,28;6,95;1118,599;5,38;0,0;1,2499001288537122
295;5,46;6,6;725,501;5,7;0,49;1,2484960229605488
296;4,41;6,48;210,887;5,89;1,43;1,2476635718166518
297;5,91;6,73;875,41;6,03;0,29;1,2470507769001642
298;5,59;6,65;808,891;6,03;0,33;1,2470507769001642
299;6,07;6,75;949,593;6,15;0,09;1,2465259228658399
300;5,78;6,63;840,887;6,27;0,21;1,2460014370725518
301;4,68;6,48;306,159;6,43;1,29;1,2453026957580047
302;5,26;6,48;416,127;6,5;1,11;1,2449972024604696
303;6,58;7,15;1219,057;6,39;0,07;1,2454773196694726
304;6,94;7,53;1477,261;6,36;0,01;1,2456083144756893
305;8,36;8,89;2629,204;6,15;0,01;1,2465259228658399
306;8,86;9,75;3376,892;5,48;0,01;1,2494610651290203
307;8,13;9,04;2583,422;5,37;0,01;1,2499440492515237
308;7,92;8,73;2340,265;5,37;0,01;1,2499440492515237
309;7,49;8,2;1916,863;5,48;0,02;1,2494610651290203
310;7,14;7,79;1624,631;5,59;0,02;1,248978389653002
311;8,1;8,87;2501,38;5,46;0,02;1,2495488574709206
312;7,47;8,31;1991,591;5,17;0,02;1,2508229924870866
313;6,89;7,7;1572,003;5,07;0,02;1,251262846276195
314;6,34;6,94;1100,164;5,18;0,04;1,2507790211172354
315;7,29;7,62;1532,186;4,83;0,02;1,2523195340392619
316;6,32;6,94;998,724;4,94;0,29;1,2518350368568434
317;6,24;6,96;1070,147;4,76;0,13;1,2526280106766376
318;4,44;6,47;269,141;4,81;1,27;1,2524076575058556
319;3,09;6,48;-37,396;5,28;1,51;1,2503394475525258
320;3,05;1,53;-23,68;5,46;36,67;1,2495488574709206
321;7,64;8,0;2326,711;5,81;2,9;1,2480139651850475
322;8,62;9,42;3068,952;5,93;0,03;1,2474884364462524
323;7,82;8,73;2360,21;6,03;0,03;1,2470507769001642
324;8,22;9,15;2679,041;5,98;0,03;1,2472695747269
325;8,17;9,01;2588,497;5,99;0,03;1,2472258100497762
326;8,67;9,5;3060,505;6,02;0,03;1,247094531353552
327;8,72;9,82;3347,286;6,01;0,03;1,2471382883630107
328;8,85;9,93;3521,213;6,02;0,03;1,247094531353552
329;9,57;9,94;3873,922;5,7;0,03;1,2484960229605488
330;7,64;8,33;2018,218;5,69;0,03;1,248539861714859
331;8,28;8,92;2563,362;6,0;0,03;1,2471820479284492
332;9,44;9,84;3957,478;5,94;0,02;1,2474446589915256
333;9,19;9,93;4199,974;5,98;0,04;1,2472695747269
334;9,19;9,69;4072,764;5,85;0,04;1,2478387480649349
335;8,26;9,12;2769,278;5,85;0,03;1,2478387480649349
336;8,96;9,64;3259,723;5,93;0,03;1,2474884364462524
337;8,6;9,72;3356,491;6,0;0,03;1,2471820479284492
338;8,79;9,42;3172,53;6,07;0,03;1,2468757846491325
339;9,13;9,89;3666,667;5,98;0,02;1,2472695747269
340;9,22;10,07;4159,868;5,48;0,01;1,2494610651290203
341;8,29;9,0;2560,027;5,32;0,01;1,2501636894829744
342;7,5;8,07;1867,605;5,53;0,01;1,2492416289150896
343;9,23;9,7;3845,448;5,94;0,06;1,2474446589915256
344;9,91;10,09;4826,015;5,93;0,07;1,2474884364462524
345;9,54;10,02;4491,247;5,91;0,0;1,2475759990213404
346;9,78;10,03;4674,413;5,92;0,04;1,2475322164562217
347;9,7;10,04;4758,12;5,91;0,08;1,2475759990213404
348;10,78;10,09;5752,415;5,78;0,98;1,2481454048435914
349;10,55;10,1;5820,097;5,73;0,76;1,2483645220162232
350;9,62;9,97;4535,331;5,8;0,07;1,248057775850583
351;10,09;10,09;4864,067;5,85;0,19;1,2478387480649349
352;10,63;10,11;5513,636;5,66;1,12;1,2486713932950102
353;11,54;10,11;6343,548;5,44;3,65;1,249636660015183
354;11,37;10,11;6351,661;5,41;3,33;1,2497683829591648
