;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
292;7,9;8,57;2206,052;5,55;0,0;1,2484973676530156;7,950191784804223
293;7,27;7,94;1732,2;5,38;0,0;1,249282391126024;7,317722238903116
294;6,28;6,95;1118,599;5,38;0,0;1,249282391126024;6,321223612147397
295;5,46;6,6;725,501;5,7;0,49;1,2478052887621627;5,493674034918262
296;4,41;6,48;210,887;5,89;1,43;1,2469294435931284;4,436159846883553
297;5,91;6,73;875,41;6,03;0,29;1,2462846446123999;5,9440328288138735
298;5,59;6,65;808,891;6,03;0,33;1,2462846446123999;5,6221901037342725
299;6,07;6,75;949,593;6,15;0,09;1,245732336461205;6,104052226678469
300;5,78;6,63;840,887;6,27;0,21;1,2451803745288554;5,811566761565869
301;4,68;6,48;306,159;6,43;1,29;1,24444496139168;4,704632684086862
302;5,26;6,48;416,127;6,5;1,11;1,2441234100320793;5,287229986144233
303;6,58;7,15;1219,057;6,39;0,07;1,2446287573943944;6,614958762069826
304;6,94;7,53;1477,261;6,36;0,01;1,2447666294311028;6,9771290077704355
305;8,36;8,89;2629,204;6,15;0,01;1,245732336461205;8,406898948110708
306;8,86;9,75;3376,892;5,48;0,01;1,2488205265272558;8,917060265692797
307;8,13;9,04;2583,422;5,37;0,01;1,2493285911401306;8,183468386417532
308;7,92;8,73;2340,265;5,37;0,01;1,2493285911401306;7,972087284185344
309;7,49;8,2;1916,863;5,48;0,02;1,2488205265272558;7,5382371772053105
310;7,14;7,79;1624,631;5,59;0,02;1,24831275942579;7,185009037608228
311;8,1;8,87;2501,38;5,46;0,02;1,2489128797510634;8,152366657997144
312;7,47;8,31;1991,591;5,17;0,02;1,25025311068865;7,520982073145716
313;6,89;7,7;1572,003;5,07;0,02;1,250715742607685;6,9378791572076475
314;6,34;6,94;1100,164;5,18;0,04;1,2502068611698878;6,383191214325418
315;7,29;7,62;1532,186;4,83;0,02;1,2518270773010995;7,342832348064749
316;6,32;6,94;998,724;4,94;0,29;1,2513175367160774;6,364938705429229
317;6,24;6,96;1070,147;4,76;0,13;1,252151488505183;6,2857656425678305
318;4,44;6,47;269,141;4,81;1,27;1,2519197536514326;4,472288086386255
319;3,09;6,48;-37,396;5,28;1,51;1,249744502406244;3,110667044722726
320;3,05;1,53;-23,68;5,46;36,67;1,2489128797510634;3,0697183094927514
321;7,64;8,0;2326,711;5,81;2,9;1,2472981134594685;7,686077351677322
322;8,62;9,42;3068,952;5,93;0,03;1,246745166899528;8,670706132425536
323;7,82;8,73;2360,21;6,03;0,03;1,2462846446123999;7,86503159413274
324;8,22;9,15;2679,041;5,98;0,03;1,246514875528206;8,267844054579282
325;8,17;9,01;2588,497;5,99;0,03;1,2464688245118714;8,217451835180578
326;8,67;9,5;3060,505;6,02;0,03;1,2463306859640222;8,720033711051464
327;8,72;9,82;3347,286;6,01;0,03;1,2463767297305968;8,770430256781443
328;8,85;9,93;3521,213;6,02;0,03;1,2463306859640222;8,901072473218623
329;9,57;9,94;3873,922;5,7;0,03;1,2478052887621627;9,629022072191898
330;7,64;8,33;2018,218;5,69;0,03;1,247851410237653;7,687213688724581
331;8,28;8,92;2563,362;6,0;0,03;1,2464227759129405;8,327988164759553
332;9,44;9,84;3957,478;5,94;0,02;1,2466991037839226;9,495412741367272
333;9,19;9,93;4199,974;5,98;0,04;1,246514875528206;9,243489885837418
334;9,19;9,69;4072,764;5,85;0,04;1,2471137590957366;9,244969982598105
335;8,26;9,12;2769,278;5,85;0,03;1,2471137590957366;8,30940718784117
